Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
4,"SmallestCircle.Data.Input.File.FilePointsInterator.ConvertToPoint",10,0,0.17,0.00,"SmallestCircle.Data.dll",
5,"System.Linq.Enumerable.First[System.Int32]",5,5,0.09,0.09,"System.Core.ni.dll",
5,"System.Linq.Enumerable.Last",4,4,0.07,0.07,"System.Core.dll",
5,"[clr.dll]",1,1,0.02,0.02,"clr.dll",
4,"System.String.Split",1,1,0.02,0.02,"mscorlib.ni.dll",
3,"System.Collections.Generic.List`1[System.__Canon].get_Item",7,7,0.12,0.12,"mscorlib.ni.dll",
3,"SmallestCircle.Calculation.Geometry.CreateCircle.FromThreePoints",4,4,0.07,0.07,"SmallestCircle.Calculation.dll",
3,"System.Linq.Enumerable.ToArray[System.__Canon]",3,1,0.05,0.02,"System.Core.ni.dll",
4,"SmallestCircle.Data.Input.File.FilePointsInterator+<GetMany>d__13.MoveNext",2,0,0.03,0.00,"SmallestCircle.Data.dll",
5,"[clr.dll]",1,1,0.02,0.02,"clr.dll",
5,"SmallestCircle.Data.Input.File.FilePointsInterator.GetNext",1,0,0.02,0.00,"SmallestCircle.Data.dll",
6,"SmallestCircle.Data.Input.File.FilePointsInterator.ConvertToPoint",1,0,0.02,0.00,"SmallestCircle.Data.dll",
7,"[clr.dll]",1,1,0.02,0.02,"clr.dll",
3,"[mscorlib.ni.dll]",2,2,0.03,0.03,"mscorlib.ni.dll",
2,"[clr.dll]",2,2,0.03,0.03,"clr.dll",
1,"SmallestCircle.ConsoleMode.StartArguments.ParseArgs",8,0,0.14,0.00,"SmallestCircle.Console.exe",
2,"System.Configuration.ConfigurationManager.get_AppSettings",7,7,0.12,0.12,"System.Configuration.ni.dll",
2,"SmallestCircle.ConsoleMode.StartArguments..ctor",1,0,0.02,0.00,"SmallestCircle.Console.exe",
3,"[clr.dll]",1,1,0.02,0.02,"clr.dll",
